TIMESTAMP_1,Ta_1_1_1,RH_1_1_1,PPFD_1_1_1,P_1_1_1
yyyy-mm-dd HHMM,C,%,umol+1m-2s-1,mm
2023-05-21 1230,5.438,33.92,942.222,0
2023-05-21 1300,6.167,35.338,1048.313,0
2023-05-21 1330,6.385,30.186,1048.193,0
2023-05-21 1400,6.989,32.236,1020.747,0
2023-05-21 1430,7.062,30.637,746.763,0
2023-05-21 1500,7.056,34.934,405.693,0
2023-05-21 1530,7.214,34.094,544.115,0
2023-05-21 1600,7.764,31.578,400.689,0
2023-05-21 1630,7.714,33.285,598.809,0
2023-05-21 1700,7.937,32.461,545.585,0
2023-05-21 1730,8.059,29.122,692.189,0
2023-05-21 1800,8.144,27.737,559.844,0
2023-05-21 1830,8.255,23.684,472.938,0
2023-05-21 1900,7.936,24.959,389.17,0
2023-05-21 1930,7.784,30.654,304.091,0
2023-05-21 2000,7.816,34.135,243.758,0
2023-05-21 2030,6.93,33.81,160.148,0
2023-05-21 2100,5.67,34.888,90.362,0
2023-05-21 2130,4.771,40.312,43.294,0
2023-05-21 2200,4.08,45.192,18.708,0
2023-05-21 2230,3.049,47.652,5.799,0
2023-05-21 2300,2.092,53.339,1.112,0
2023-05-21 2330,0.648,57.26,0.477,0
2023-05-22 0000,-0.366,60.164,0.278,0
2023-05-22 0030,-1.088,61.542,0.04,0
2023-05-22 0100,-1.964,64.545,0.278,0
2023-05-22 0130,-2.374,65.98,0.199,0
2023-05-22 0200,-3.212,68.05,0.159,0
2023-05-22 0230,-4.175,70.369,0.278,0
2023-05-22 0300,-4.04,70.536,0.357,0
2023-05-22 0330,-3.958,71.234,0.516,0
2023-05-22 0400,-4.065,71.096,1.827,0
2023-05-22 0430,-3.927,71.247,5.481,0
2023-05-22 0500,-4.076,71.647,12.234,0
2023-05-22 0530,-4.107,70.983,26.572,0
2023-05-22 0600,-3.744,71.177,39.799,0
2023-05-22 0630,-3.609,71.263,52.072,0
2023-05-22 0700,-3.309,70.586,95.366,0
2023-05-22 0730,-3.057,69.552,128.095,0
2023-05-22 0800,-2.914,68.385,169.681,0
2023-05-22 0830,-2.852,69.105,237.76,0
2023-05-22 0900,-2.795,69.842,256.547,0
2023-05-22 0930,-2.665,68.578,343.691,0
2023-05-22 1000,-2.111,66.015,501.933,0
2023-05-22 1030,-1.699,64.5,591.262,0
2023-05-22 1100,-1.187,63.134,574.501,0
2023-05-22 1130,-1.018,61.194,653.502,0
2023-05-22 1200,-1.127,61.677,536.013,0
2023-05-22 1230,-0.032,62.139,824.335,0
2023-05-22 1300,0.569,61.157,904.449,0
2023-05-22 1330,0.535,63.016,505.23,0
2023-05-22 1400,1.531,59.643,689.289,0
2023-05-22 1430,1.478,61.466,371.018,0
2023-05-22 1500,1.586,57.896,659.063,0
2023-05-22 1530,2.585,53.299,565.683,0
2023-05-22 1600,2.761,53.137,422.971,0
2023-05-22 1630,2.921,53.25,414.233,0
2023-05-22 1700,2.753,54.303,252.019,0
2023-05-22 1730,2.804,54.439,339.958,0
2023-05-22 1800,3.282,51.349,319.463,0
2023-05-22 1830,3.379,49.056,151.132,0
2023-05-22 1900,3.436,47.814,184.417,0
2023-05-22 1930,3.768,47.325,129.167,0
2023-05-22 2000,3.687,46.512,118.006,0
2023-05-22 2030,4.169,45.7,147.677,0
2023-05-22 2100,3.516,49.58,91.235,0
2023-05-22 2130,2.958,51.998,38.289,0
2023-05-22 2200,2.574,53.736,17.834,0
2023-05-22 2230,2.287,55.033,5.839,0
2023-05-22 2300,2.038,56.235,1.311,0
2023-05-22 2330,1.977,56.612,0.516,0
2023-05-23 0000,1.973,57.261,0.159,0
2023-05-23 0030,1.471,58.349,0.159,0
